,CPIAUCSL,Regime,Country,Field,Field2,Value
1948-01-01,0.10242085661080069,,US,INF_YOY,,
1948-02-01,0.09481961147086038,DISINFLATION,US,INF_YOY,,
1948-03-01,0.06818181818181812,DISINFLATION,US,INF_YOY,,
1948-04-01,0.08272727272727276,FIRE,US,INF_YOY,,
1948-05-01,0.09384965831435088,FIRE,US,INF_YOY,,
1948-06-01,0.09375,FIRE,US,INF_YOY,,
1948-07-01,0.09761583445793964,FIRE,US,INF_YOY,,
1948-08-01,0.09062499999999996,DISINFLATION,US,INF_YOY,,
1948-09-01,0.06654991243432562,DISINFLATION,US,INF_YOY,,
1948-10-01,0.061108686163247494,DISINFLATION,US,INF_YOY,,
1948-11-01,0.047701647875108444,DISINFLATION,US,INF_YOY,,
1948-12-01,0.02733874412644166,DISINFLATION,US,INF_YOY,,
1949-01-01,0.013935810810810967,DISINFLATION,US,INF_YOY,,
1949-02-01,0.010139416983523386,DISINFLATION,US,INF_YOY,,
1949-03-01,0.01744680851063829,DISINFLATION,US,INF_YOY,,
1949-04-01,0.004198152812762368,DISINFLATION,US,INF_YOY,,
1949-05-01,-0.004164931278633932,ICE,US,INF_YOY,,
1949-06-01,-0.009523809523809379,ICE,US,INF_YOY,,
1949-07-01,-0.02868852459016391,ICE,US,INF_YOY,,
1949-08-01,-0.02988129349160873,ICE,US,INF_YOY,,
1949-09-01,-0.02504105090311981,ICE,US,INF_YOY,,
1949-10-01,-0.026326614561908546,ICE,US,INF_YOY,,
1949-11-01,-0.019039735099337762,ICE,US,INF_YOY,,
1949-12-01,-0.018295218295218296,ICE,US,INF_YOY,,
1950-01-01,-0.02082465639316955,ICE,US,INF_YOY,,
1950-02-01,-0.012547051442910906,ICE,US,INF_YOY,,
1950-03-01,-0.01129234629861986,ICE,US,INF_YOY,,
1950-04-01,-0.011287625418060276,ICE,US,INF_YOY,,
1950-05-01,-0.0058552906733584376,ICE,US,INF_YOY,,
1950-06-01,-0.0016722408026756952,ICE,US,INF_YOY,,
1950-07-01,0.01561181434599157,REFLATION,US,INF_YOY,,
1950-08-01,0.021097046413502074,REFLATION,US,INF_YOY,,
1950-09-01,0.024842105263158,REFLATION,US,INF_YOY,,
1950-10-01,0.0350654837346851,REFLATION,US,INF_YOY,,
1950-11-01,0.03797468354430378,REFLATION,US,INF_YOY,,
1950-12-01,0.0580262600592969,REFLATION,US,INF_YOY,,
1951-01-01,0.07954062101233506,REFLATION,US,INF_YOY,,
1951-02-01,0.09402795425667088,REFLATION,US,INF_YOY,,
1951-03-01,0.09475465313028764,REFLATION,US,INF_YOY,,
1951-04-01,0.09598308668076116,REFLATION,US,INF_YOY,,
1951-05-01,0.09339503575936048,DISINFLATION,US,INF_YOY,,
1951-06-01,0.08584589614740379,DISINFLATION,US,INF_YOY,,
1951-07-01,0.07644370585791438,DISINFLATION,US,INF_YOY,,
1951-08-01,0.06859504132231398,DISINFLATION,US,INF_YOY,,
1951-09-01,0.06943303204601481,DISINFLATION,US,INF_YOY,,
1951-10-01,0.06775510204081625,DISINFLATION,US,INF_YOY,,
1951-11-01,0.06991869918699178,DISINFLATION,US,INF_YOY,,
1951-12-01,0.05964771817453962,DISINFLATION,US,INF_YOY,,
1952-01-01,0.042159180457052914,DISINFLATION,US,INF_YOY,,
1952-02-01,0.02245451025938827,DISINFLATION,US,INF_YOY,,
1952-03-01,0.019706336939721902,DISINFLATION,US,INF_YOY,,
1952-04-01,0.02083333333333326,DISINFLATION,US,INF_YOY,,
1952-05-01,0.018468641785302164,DISINFLATION,US,INF_YOY,,
1952-06-01,0.02313922097956045,DISINFLATION,US,INF_YOY,,
1952-07-01,0.029718255499807,DISINFLATION,US,INF_YOY,,
1952-08-01,0.03209590100541382,DISINFLATION,US,INF_YOY,,
1952-09-01,0.023050326546292688,DISINFLATION,US,INF_YOY,,
1952-10-01,0.020259938837920544,DISINFLATION,US,INF_YOY,,
1952-11-01,0.014057750759878473,DISINFLATION,US,INF_YOY,,
1952-12-01,0.009066868152625585,DISINFLATION,US,INF_YOY,,
1953-01-01,0.007183364839319584,DISINFLATION,US,INF_YOY,,
1953-02-01,0.006815600151457879,DISINFLATION,US,INF_YOY,,
1953-03-01,0.009094353921940135,DISINFLATION,US,INF_YOY,,
1953-04-01,0.008692365835222926,DISINFLATION,US,INF_YOY,,
1953-05-01,0.0086890819795995,DISINFLATION,US,INF_YOY,,
1953-06-01,0.009046362608367886,DISINFLATION,US,INF_YOY,,
1953-07-01,0.004122938530734643,DISINFLATION,US,INF_YOY,,
1953-08-01,0.005994754589734086,DISINFLATION,US,INF_YOY,,
1953-09-01,0.009763424708974844,DISINFLATION,US,INF_YOY,,
